4	mexico wishes to guarantee citizens' safety. 	mexico wishes to avoid more violence.
3.8	iran is the most prolific applier of the death penalty in the world after china. 	the islamic republic is the most prolific applier of the death penalty in the world after china.
1.4	john duncan is great britain's ambassador for multilateral arms control and disarmament. 	at un assembly chinese government urges increased efforts toward global arms control and disarmament.
4	the treaty was amended in 1999 after the collapse of the soviet union. 	the treaty was amended in 1999 to reflect changes since the soviet breakup.
4.4	kashmir is divided between india and pakistan. 	kashmir is claimed by both india and pakistan.
1.4	south korea and israel oppose proliferation of weapons of mass destruction and an arms race. 	china will resolutely oppose the proliferation of mass destructive weapons.
3.4	kadhafi warns that us and britain's failure to compensate libya for nuclear disarmament will deter iran and north korea from disarming. 	western countries' failure to sufficiently compensate libya will deter iran and north korea from disarming.
3.4	russia ratified the amended treaty. 	russia ratified the updated treaty in 2004.
3.4	a staff of 30 specialists will conduct research and training on cyber warfare and will be prepared to assist nato members with response to any future cyber attacks. 	a staff of 30 specialists will conduct research and training on cyber warfare.
3	jamaat-i-islami's youth wing staged a separate demonstration in kashmir. 	jamaat-i-islami's youth wing's demonstration was against a us attack on iraq.
3.8	iran is the most prolific applier of the death penalty in the world after china. 	the islamic republic is the most prolific applier of the death penalty in the world after china.
4.4	china will resolutely oppose the means of the delivery of mass destructive weapons. 	china has always opposed the proliferation of weapons of mass destruction.
3.4	a breakdown of order in china will lead to significant global turmoil. 	a breakdown of order in china will be worse than in afghanistan or yugoslavia.
4	north korea has claimed nuclear ambitions and currently north korea is reported to have missiles aimed at japan. 	north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on
0.8	abuja is the capital of 	tskhinvali is the capital of georgia.
4.6	the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program. 	the us and allies have accused iran of attempting to develop nuclear weapons under the guise of a civilian nuclear program.
1	tirana is the capital of 	abuja is the capital of
3.2	in an armed clash iranian police kill 4 alleged drug traffickers, arrest 2, and seize nearly 5 metric tons of opium and morphine. 	during armed clashes in southeastern iran police seized nearly 5 metric tons (5.5 tons) of opium and morphine.
3.6	iran's nuclear projects are for peaceful purposes. 	iran insists that its nuclear program is for peaceful purposes
4.2	china will resolutely oppose the proliferation of mass destructive weapons. 	china will resolutely oppose the means of the delivery of mass destructive weapons.
1.2	china is north korea's closest ally. 	north korea is a reclusive state.
4.2	libyan foreign minister abdel rahman shalgam visited london during the first visit by a libyan foreign minister since 1969. 	shalgam's visit to london is the first by a libyan foreign minister since 1969.
3.6	goff stated that this presents a major threat to global security. 	it presents a major threat to global security.
2	cambodia and vietnam finalized an agreement to stop asian and european drug traffickers. 	syrian and russian officials signed an agreement of cooperation in combating drug trafficking.
4.2	activists have stated that russia is imprisoning people without evidence of illegal activity. 	russia imprisons people without evidence of illegal activity.
3.8	restraining extremist groups is becoming increasingly difficult because of how the groups are financed. 	bruguiere stated-- restraining extremist groups particularly across europe was becoming increasingly difficult because of how the groups are financed.
1.2	zabol is a town in southeastern iran. 	khoramabad is a city in western iran.
3.25	detainees to be accused of homicide, criminal collaboration, kidnapping and the funding of terrorism and include members of the military and police. 	iguaran stated that the detainees will be accused of homicide, criminal collaboration, kidnappings and the funding of terrorism.
4.2	existing rods could produce 3-6 atomic bombs in 6-8 months. 	experts stated that the rods could produce 3-6 atomic bombs in 6-8 months.
2.4	the international atomic energy agency may have been tricked because it was eager for a deal. 	the international atomic energy agency plan draws out negotiations for many months.
4.6	myanmar government has stated myanmar will become opium-free by 2014. 	myanmar government stated myanmar is on track to be drug-free by 2014.
4.4	jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. 	the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.
1.8	france provides the rockets, guns and engines. 	britain provides fuel tanks and gearboxes.
3.2	capital offenses in saudi arabia include rape, murder, apostasy, armed robbery and drug trafficking. 	capital offences in iran include murder, rape, armed robbery, serious drug trafficking and adultery.
3.4	bae systems is the uk's largest defense company. 	bae systems is the uk's largest military
2.8	lavrov has told us secretary of state condoleezza rice that russia remains open to dialogue. 	u.s. secretary of state condoleezza rice demanded russia withdraw its forces.
3.8	additional individuals and entities are subject to an assets freeze. 	the resolution includes a broadened list of individuals and entities subject to an assets freeze.
3.4	withdrawal from the treaty would allow russia to bolster forces near russian borders. 	withdrawal from the conventional forces in europe treaty would allow russia to bolster forces near russian borders.
1.8	fan stated the commission is primarily concerned with the term of future investment in taiwan. 	fan stated the commission will ensure the commitments are upheld once the investments are under way.
2.8	government spokesman maseko stated that if administrative papers are in order the government of south africa cannot intervene to prevent weapons from being transported through its territory to a neighboring landlocked country. 	spokesman themba maseko stated as long as administrative papers are in order south africa cannot intervene to prevent weapons being transported through south african territory to zimbabwe.
3.2	president dmitry medvedev's statement was posted on the kremlin website and carried in full by state news agencies. 	the statement was posted on the kremlin web site and carried by state news agencies.
1.8	turkmenistan borders afghanistan. 	sistan-baluchestan borders afghanistan and pakistan.
3.4	the number of executions increased in iran last year amid a campaign that is aimed at improving security in society. 	the number of executions increased dramatically in 2007 amid a campaign which iranian authorities state is aimed at improving security in society.
5	syria denies having an undeclared nuclear program. 	syria denies the existence of an undeclared nuclear program.
1.4	amnesty international is a rights group based in london. 	the international institute for strategic studies is located in london.
2.2	the number 254 was tabulated with an afp count compiled from press and witness reports. 	the number of executions in iran in 2007 was calculated by an afp count compiled from press reports.
5	the iranian government stated-- the iranian nuclear program remains peaceful. 	the iranian government says the nuclear program is peaceful.
0.6	shingarev said it is very difficult to make a nuclear weapon from the plutonium in this fuel. 	donohue said it is very difficult to manipulate radioactive isotopes without leaving a trail.
0.6	paris is the capital of france. 	lima is the capital of
3.4	an indian government official spoke on condition of anonymity. 	the official spoke on condition of anonymity.
4.6	russia had threatened several times to withdraw from the cfe when it was at odds with the united states over u.s. plans to install a missile defense shield in eastern 	russia has repeatedly threatened withdrawal from the cfe in opposition to plans for the extension of the us missile defense shield to eastern europe.
1.8	the plan for tunisia is the creation of electronic databases to facilitate tax collection. 	the plan for nigeria and mozambique is the creation an electronic database for real estate.
4.2	china has been praised by the international community for efforts to resolve the korean peninsula nuclear issue. 	china has been praised especially by the asia-pacific states for efforts to resolve the korean peninsula nuclear issue.
2.6	the russian foreign ministry stated that russia has not suspended dialogue. 	russian officials stated that russia will not reconsider the suspension.
2.8	arms smugglers and drug cartels must be eliminated from southeast asia. 	arms smugglers and drug cartels abet terrorists.
4.8	the new law attempts to remove any legal obstacles to building more advanced spy satellites and to help innovation in japans's space industry. 	the purpose of the new law is to remove any legal obstacles to building more advanced spy satellites and to encourage innovation in japans's space industry.
4.4	zhang stated-- china opposes restricting the peaceful use of nuclear energy by non-nuclear-weapon states on the basis of non-proliferation because the peaceful use of nuclear energy is a crucial objective of the npt. 	zhang yan stated that china opposes using non-proliferation as a pretext for restricting and depriving non-nuclear-weapon states of the right to peaceful use of nuclear energy.
4	non-proliferation expert at the international institute for strategic studies mark fitzpatrick stated that the iaea report -- had an unusually strong tenor. 	senior fellow at the international institute for strategic studies mark fitzpatrick stated that-- the international atomic energy agency plan is superficial.
4.2	the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe. 	the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe.
3.8	estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin. 	officials in estonia including prime minister andrus ansip have claimed that some of the cyber attacks came from russian government computers including computers in the office of russian president vladimir putin.
3.2	britain has struck an agreement to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (about 13.9 billion us dollars). 	the uk agreed to supply saudi arabia with typhoon jets in a deal worth an estimated 8 billion pounds (approximately 13.9 billion us dollars) to the uk defense company bae systems.
3.4	opium is the raw ingredient for heroin. 	the poppies yielded the raw ingredient for heroin.
3	wi sung-lac refused to give any details about the north korean nuclear reactor project. 	south korea has so far taken a cautious stance on the issue of the north korean nuclear reactor project.
3.4	the agreement aimed to establish a wider cooperation covering national security and the fight against global terrorism. 	in a statement the british ministry of defense stated-- the agreement aims to establish wider cooperation covering national security and the fight against global terrorism.
3.4	many of those executed in iran are hanged in public. 	many of the people executed are hanged in public.
3.8	the united states and the allies of the united states believe iran is pursuing nuclear arms. 	the united states and some european nations believe that iran's nuclear projects are for the purpose of making nuclear weapons.
5	the cfe is very important for european security. 	the cfe is a cornerstone of european security.
5	indian troops already fighting rebels in kashmir are now engaged in a massive campaign to destroy poppy crops in the region. 	indian troops already fighting rebels are now also engaged in a massive operation to destroy poppy crops in kashmir.
0	the matter is delicate. 	the iaea report is restricted.
2.4	last week russia announced that it will suspend participation in the cfe. 	nato regrets russia's decision to suspend participation in the cfe.
3.6	the u.s., other western nations and nato condemned the violence. 	the u.s., other western nations and nato demanded a cease-fire.
2	indian nationals constitute the largest number of foreign inmates in nepal prisons. 	drug traffickers from foreign countries constitute the largest percentage of foreign inmates in nepal.
4.2	the judicial order accused raghad of funding terrorism. 	the court accused raghad saddam hussein of funding terrorism.
3.75	myanmar's military rulers burned approximately 250 million dollars worth of illegal drugs to mark the international day against drug abuse and illicit trafficking. 	myanmar's military rulers incinerated the drugs to mark the international day against drug abuse and illicit trafficking.
4	iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society. 	the number of executions increased in iran last year amid a campaign that is aimed at improving security in society.
3	india accuses islamabad of funding and training guerrillas. 	india accuses pakistan of funding and training the cross-border guerrillas.
3.6	the ensuing battle and airstrikes killed at least 10 militants. 	an ensuing battle killed at least 10 militants.
1.8	the panamanian foreign ministry communique stated that the task force will facilitate the technological transfer and promote the biofuel production and consumption. 	the panamanian foreign ministry communique stated that panama and brazil signed 3 juridical-issue treaties that included an extradition
4.8	vietnam has among the world's harshest drug laws. 	vietnam's drug laws are among the world's strictest laws.
3.2	the indian government has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's enrichment-related, reprocessing or heavy water-related activities. 	india has prohibited direct or indirect export and import of all items, materials, goods and technology that could contribute to iran's nuclear weapons delivery systems.
3.8	the vietnam news agency reported that the ministry of public security stated that foreigners involved in drug trafficking cases in vietnam came mostly from laos, cambodia, australia, china, the united states and taiwan. 	the vietnam news agency reported that the ministry of public security stated that police admitted that drug trafficking into vietnam is increasing but actions to prevent and stop the drug trafficking along the borders remained limited.
5	saferworld team leader on transfer controls and small arms roy isbister stated-- the eu embargo prohibits direct or indirect supply of military equipment for use in myanmar. 	saferworld team leader on transfer controls and small arms roy isbister stated that -- the eu embargo explicitly states that no military equipment should be supplied either directly or indirectly for use in myanmar.
3.2	the united states and other nato members have refused to ratify the amended treaty. 	the united states and other nato members have refused to do ratify the updates cfe.
3.8	the cfe limits the use of armed forces and heavy weaponry and prescribes measures aimed at confidence-building, transparency and cooperation between member states. 	the treaty limits deployments of tanks and troops in nato and former easter european warsaw pact countries and establishes confidence-building, transparency and cooperation measures between member
1	bulgaria is located on the southeastern part of the balkan peninsula. 	drug-trafficking activity is rampant in the southeastern part of the balkan peninsula.
4	elbaradei stated that this is the last chance to build security in the middle east based on trust and cooperation and not on possession of nuclear weapons. 	this is the last chance to build security in the middle east based on trust and cooperation rather than on the possession of nuclear arms.
2.2	the iranian government has dismissed the allegations in the intelligence presented to the international atomic energy agency board as baseless and the intelligence used to support the allegations as fake. 	the international atomic energy agency insists that the iranian government's simple denials of the intelligence presented to the international atomic energy agency board are not good enough to allay western countries suspicions.
3.2	the cfe treaty was established in 1990. 	the treat was originally signed in 1990.
4	the conventional forces in europe treaty is considered a key arms control treaty. 	the conventional forces in europe treaty was a key soviet-era arms control treaty.
3.8	nicaragua commemorated the 25th anniversary of the sandinista revolution that toppled the dictatorship of anastasio somoza but imposed a cuban-style leftist regime. 	nicaragua commemorated the 25th anniversary of the sandinista revolution.
2.6	13 kurds from turkey were arrested near paris on suspicion of money-laundering for the kurdistan workers' party (pkk). 	10 kurds are under investigation in france on suspicion of money-laundering for a terrorist organization known as kurdistan workers' party (pkk).
3.4	the meetings lasted 2 days. 	the osce meeting lasted two days.
1.4	the villagers are inadvertently involving themselves in drug trafficking. 	105 inmates are serving sentences for drug trafficking.
3.2	the russian government strongly opposes u.s. plans to install antimissile defenses in europe and dismisses u.s. assertions that the interceptors are needed to defend against threats from iran. 	after talks at nato headquarters baluyevsky repeated russia's opposition to u.s. plans to install antimissile defenses in europe and dismissed u.s. assertions that the interceptors were needed to defend against potential threats from iran.
5	hong kong universities collaborate with universities, businesses and government sectors of mainland china to coordinate training programs and research centers to promote high-tech research, commercialization, and technology transfer. 	hong kong universities have collaborated with tertiary education, business and government sectors of mainland china to direct training programs and research centers to promote research commercialization and technology transfer.
1	the chinese government gave active cooperation and assistance to the organization for the prohibition of chemical weapons inspections. 	the ecuadorian foreign ministry said in a statement that delegates from the organization for the prohibition of chemical weapons (opaq) will also take part in the meeting.
5	the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. 	since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.
5	the statement did not specify the quantity of warheads the missile is capable of carrying. 	the statement did not specify how many warheads the missile can carry.
4.2	it is a serious threat to international security. 	it presents a major threat to global security.
2.4	nicaragua commemorated the 25th anniversary of the sandinista revolution. 	nicaragua has not reconciled how to approach the anniversary of the sandinista revolution.
4.2	russian president vladimir putin states that the decision to cease implementation of the conventional forces in europe treaty is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty. 	russian president vladimir putin states that the decision is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty.
2.6	dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s. 	a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.
3.4	a report issued by security software vendor mcafee inc., said government-affiliated hackers in china are at the forefront of a brewing cyber cold war. 	government-affiliated hackers in china are at the forefront of a burgeoning cyber cold war.
3.6	the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe and was first signed in 1990. 	the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe.
1.8	many of the attacks originated abroad. 	estonian officials stated that the attacks originated in russia.
1.4	police arrested 2 honduran drug trafficking suspects. 	bulgarian police arrest head of drug trafficking group.
3.6	if japan rises to the occasion japan will never be beaten even in terms of military power. 	ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.
4	egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction. 	syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility.
1.2	russia already participates in the european space agency's 	france is a leader in the european space agency.
3	myanmar is a military state. 	myanmar has a military junta.
1.8	it did not say if the men had been hanged in prison. 	dozens of such criminals have been hanged in public.
3.2	amnesty international's report was compiled by european and international non-governmental organizations such as saferworld, which opposes armed violence. 	the amnesty international report was compiled by european and international non-governmental forums.
4.2	an institute for public policy research report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists. 	the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.
4	the iranian government denied the accusation and insists the nuclear program is for peaceful purposes only. 	iran insists that its nuclear program is for peaceful purposes
3.2	the proliferation security initiative calls for stopping and searching ships suspected of carrying weapons of mass destruction. 	members of the proliferation security initiative are considering ways of intercepting ships or aircraft suspected of carrying weapons of mass destruction.
3.4	the international community should modernize and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through extensive consultations. 	the third proposal was that countries should advance with the times and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through broad consultation.
3.8	amnesty international has published a report stating that an indian project to sell attack helicopters to myanmar threatens a european union arms embargo against myanmar. 	the amnesty international report was titled indian helicopters for myanmar: making a mockery of the eu arms embargo?
2.4	naeem m. smuggled 10 kilograms (22 pounds) of heroin. 	the defendants smuggled more than 11 kilograms (24 pounds) of heroin.
3.4	29 people were convicted by the quang ninh people's court of participating in a drug ring that trafficked heroin from vietnam to china. 	court official tran dao stated the 12 people were among 29 people convicted by the quang ninh people's court of participating in a drug ring that trafficked heroin from vietnam to china.
2	the lawyer of michael karras named s.s. dhillon could not be reached for comment. 	durban port authorities and police explosives inspectors could not be reached for comment.
3.2	the countries oppose the weaponization of space and an arms race in space. 	china stressed that opposition of weaponization and an arms race in outer space.
3.4	france, belgium, germany, sweden, italy and britain provide parts and technology for the advanced light helicopter (alh). 	france, belgium, germany, sweden, italy and britain provide parts and technology for the advanced light helicopter that india plans to sell to myanmar.
3.2	illegal arms trafficking increases in kenya due to easy availability and neighboring conflicts. 	illegal arms trafficking has increased in kenya and raised concern about security.
3.4	n.r. mohanty stated that an agreement had been signed between the defense research and development organisation, hindustan aeronautics limited and the indian air force to upgrade india's ageing fleet of mig-27 m aircraft. 	mohanty stated that the upgrade will be done soon as it has almost been finalised by the defense research and development organisation, hindustan aeronautics limited and the indian air force.
4.6	elbaradei states that a middle east peace deal can only be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region. 	elbaradei was quoted as saying that a peace deal between israel and its arab neighbors must be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region.
1.6	drug traffickers face the death penalty under tajik law. 	afghan drug trafficker was caught in tajikistan.
5	international atomic energy association is the united nations watchdog. 	the international atomic energy agency is the u.n.'s nuclear watchdog.
4.8	wen states that the main purpose of the germany visit is to advance trade, economic and technological exchanges. 	wen stated that the purpose of his visit to germany is to advance trade, economic and technological exchanges.
1.2	united states officials do not know how far north korea's nuclear weapons program has progressed. 	hill is the head american negotiator on north korea's nuclear weapons program.
4.6	7 police officers were killed and 4 officers were wounded. 	during the clash 7 seven police officers were killed and 4 seriously wounded.
2.8	defense chiefs from estonia, latvia, lithuania, germany, italy, spain and slovakia will sign the agreement to provide staff and funding for the center. 	defense chiefs from estonia, latvia, lithuania, germany, italy, spain and slovakia signed the agreement.
3.4	the bill proposing the new law allowing the use of space programs for defense was already approved by the lower house of japan's government last week. 	the bill for the new law was already approved by the japanese government's lower house last week.
2.6	van der merwe sentenced geiges to a total of 13 years imprisonment. 	van der merwe suspended geiges' sentence to 5 years imprisonment.
1.8	zahedan is a city in southeastern 	bam is a city in southeastern
4.4	president putin stated that russia would take countermeasures. 	putin warned that russia would take retaliatory actions.
4	china has so far balked against united states pressure on china to stop and search north korean ships. 	china has stated that the united states pressure on china to stop and search north korean ships could trigger military clashes.
3.8	brazil's strategic affairs minister roberto mangabeira unger stated brazil's new national defense plan calls for establishing partnerships with countries including russia and france to build a state-of-the-art weapons industry. 	unger stated brazil's new national defense plan calls for establishing partnerships with countries including russia and france to build a state-of-the-art weapons industry.
1.6	the accused will be charged with international drug trafficking. 	some of the accused will also be charged with money laundering, tax evasion and corruption.
3.6	variants of the advanced light helicopter (alh) contain rocket launchers from belgium; rockets, guns and engines from france; brake systems from italy; fuel tanks and gearboxes from britain; self-protection equipment from a swedish company and have received crucial design development and engine control manufacturing from german companies. 	the alh's arsenal includes-- rocket launchers from belgium rockets, guns and engines from france brake systems from italy fuel tanks and gearboxes from britain self-protection equipment from a swedish company.
3.6	indian defense ministry has increased spending on defense purchases. 	indian defense ministry has increased defense spending for new purchases by 33 percent.
0	the iaea report is restricted. 	the killers escaped.
2.2	the conventional forces in europe treaty was signed by russian and nato members in 1990. 	the conventional forces in europe treaty was amended in 1999.
3.6	sheik doon salad ilmi said civilian casualties resulting from overnight mortar and rocket attacks happen every day. 	sheik doon salad ilmi stated that civilian casualties resulting from overnight mortar and rocket attacks are admitted to the hospital nearly every day.
1.2	the south african government maintains very good relations with the united states government. 	the cfe is 1 of several issues negatively impacting russia's relations with the united states and europe.
4.2	nuclear weapon systems at a high level of readiness increase the risk of those weapons being used including unintentionally with catastrophic consequences. 	the resolution says that the high level of readiness increases the risk of the use of such weapons and that the unintentional or accidental use would have catastrophic consequences.
3.4	blix stated that it is essential to increase efforts to eliminate nuclear arms and weapons of mass destruction. 	blix was visiting new zealand and said that it is essential that greater efforts be made to eliminate nuclear arms and weapons of mass destruction.
0	helmand province is the world's largest producer of opium. 	the areva group is the world's largest nuclear engineering firm.
3.8	the afghanistan-iran border region has been the scene of frequent clashes between police and drug smugglers. 	the area near town of mirjaveh has been the scene of frequent conflicts between iranian police and drug smugglers.
4.4	physicist danilov was convicted of selling classified information on space technology to china. 	physicist valentin danilov was found guilty of selling classified information on space technology to china.
3.4	myanmar is the world's largest producer of illegal opium but has limited financial and technical resources for ending the drug trade. 	myanmar is the world's largest producer of illicit opium according to the latest u.s. state department anti-narcotics report.
